junctionid,vehicleid,turn,priority,arrivaltime,departuretime,delay
MaryRosslandJuction,veh_530,left,1,72000000000,396000000000,324.0
MaryRosslandJuction,veh_531,right,1,73000000000,233000000000,160.0
MaryRosslandJuction,veh_532,left,1,74000000000,406000000000,332.0
MaryRosslandJuction,veh_533,straight,1,75000000000,241000000000,166.0
MaryRosslandJuction,veh_534,straight,1,106000000000,468000000000,362.0
MaryRosslandJuction,veh_535,right,1,108000000000,474000000000,366.0
MaryRosslandJuction,veh_536,left,1,110000000000,622000000000,512.0
MaryRosslandJuction,veh_537,straight,1,111000000000,577000000000,466.0
MaryRosslandJuction,veh_538,right,1,415000000000,960000000000,545.0
MaryRosslandJuction,veh_54,straight,1,6000000000,68000000000,62.0
MaryRosslandJuction,veh_540,left,1,421000000000,484000000000,63.0
MaryRosslandJuction,veh_546,right,1,942000000000,1260000000000,318.0
MaryRosslandJuction,veh_55,right,1,7000000000,149000000000,142.0
MaryRosslandJuction,veh_550,straight,1,1168000000000,1448000000000,280.0
MaryRosslandJuction,veh_554,left,1,341000000000,1565000000000,1224.0
MaryRosslandJuction,veh_557,straight,1,411000000000,704000000000,293.0
MaryRosslandJuction,veh_558,left,1,386000000000,1584000000000,1198.0
MaryRosslandJuction,veh_559,right,1,392000000000,744000000000,352.0
MaryRosslandJuction,veh_56,left,1,9000000000,77000000000,68.0
MaryRosslandJuction,veh_562,left,1,76000000000,414000000000,338.0
MaryRosslandJuction,veh_563,right,1,77000000000,243000000000,166.0
MaryRosslandJuction,veh_564,left,1,78000000000,422000000000,344.0
MaryRosslandJuction,veh_565,straight,1,79000000000,351000000000,272.0
MaryRosslandJuction,veh_566,straight,1,112000000000,692000000000,580.0
MaryRosslandJuction,veh_567,right,1,113000000000,477000000000,364.0
MaryRosslandJuction,veh_568,left,1,115000000000,629000000000,514.0
MaryRosslandJuction,veh_569,straight,1,116000000000,566000000000,450.0
MaryRosslandJuction,veh_57,straight,1,12000000000,152000000000,140.0
MaryRosslandJuction,veh_570,right,1,433000000000,968000000000,535.0
MaryRosslandJuction,veh_572,left,1,442000000000,502000000000,60.0
MaryRosslandJuction,veh_578,right,1,944000000000,1266000000000,322.0
